InvoiceNo,InvoiceDate,CustomerID
536748,12/2/10 13:45,15107.0
536749,12/2/10 13:49,17976.0
536750,12/2/10 14:04,17850.0
536751,12/2/10 14:05,17850.0
536752,12/2/10 14:06,17850.0
536753,12/2/10 14:07,17850.0
536754,12/2/10 14:09,14449.0
536755,12/2/10 14:14,
536756,12/2/10 14:23,
C536757,12/2/10 14:23,15838.0
C536758,12/2/10 14:25,13767.0
536759,12/2/10 14:26,16781.0
C536760,12/2/10 14:29,17547.0
536761,12/2/10 14:30,13491.0
536762,12/2/10 14:40,16186.0
536763,12/2/10 14:42,17685.0
536764,12/2/10 14:42,
536765,12/2/10 14:43,
536769,12/2/10 14:47,17581.0
536771,12/2/10 14:49,17581.0
536777,12/2/10 15:00,15732.0
536778,12/2/10 15:03,13138.0
536779,12/2/10 15:08,15823.0
536780,12/2/10 15:09,
536781,12/2/10 15:14,17460.0
536782,12/2/10 15:18,17567.0
536783,12/2/10 15:19,15061.0
536784,12/2/10 15:20,15061.0
536785,12/2/10 15:22,15061.0
536786,12/2/10 15:23,15061.0
536787,12/2/10 15:24,17850.0
536788,12/2/10 15:25,15061.0
536789,12/2/10 15:25,17850.0
536790,12/2/10 15:26,17850.0
536791,12/2/10 15:27,17850.0
536792,12/2/10 15:28,15061.0
536793,12/2/10 15:39,16203.0
536794,12/2/10 15:40,13767.0
536795,12/2/10 15:40,15640.0
536796,12/2/10 15:46,15574.0
536797,12/2/10 15:49,16770.0
536798,12/2/10 15:55,17838.0
536799,12/2/10 16:00,17228.0
536800,12/2/10 16:12,14829.0
536801,12/2/10 16:12,
536802,12/2/10 16:29,17412.0
536803,12/2/10 16:33,14911.0
536804,12/2/10 16:34,14031.0
536805,12/2/10 16:38,14775.0
536806,12/2/10 16:42,12971.0
C536807,12/2/10 16:45,15834.0
536808,12/2/10 16:46,17659.0
536809,12/2/10 16:48,15299.0
536810,12/2/10 16:50,15299.0
536811,12/2/10 16:51,15299.0
C536812,12/2/10 16:58,16546.0
536813,12/2/10 16:59,15646.0
C536814,12/2/10 17:03,13958.0
C536815,12/2/10 17:05,14443.0
C536816,12/2/10 17:06,14443.0
C536817,12/2/10 17:08,14156.0
C536818,12/2/10 17:09,16995.0
536819,12/2/10 17:12,13402.0
C536820,12/2/10 17:14,18168.0
536821,12/2/10 17:17,17757.0
C536822,12/2/10 17:19,14625.0
536823,12/2/10 17:22,13011.0
536824,12/2/10 17:24,13798.0
C536825,12/2/10 17:27,15384.0
C536826,12/2/10 17:30,17924.0
C536827,12/2/10 17:31,13408.0
C536828,12/2/10 17:35,14264.0
C536829,12/2/10 17:36,13295.0
536830,12/2/10 17:38,16754.0
536831,12/2/10 17:40,16029.0
536832,12/2/10 17:41,16634.0
536833,12/2/10 17:48,18239.0
536834,12/2/10 17:51,14576.0
536835,12/2/10 18:06,13145.0
536836,12/2/10 18:08,18168.0
536837,12/2/10 18:15,14395.0
536838,12/2/10 18:23,14865.0
536839,12/2/10 18:25,15093.0
536840,12/2/10 18:27,12738.0
536841,12/2/10 18:27,16150.0
536842,12/2/10 18:45,17552.0
536843,12/2/10 18:46,17552.0
536844,12/2/10 18:49,14236.0
536845,12/2/10 19:18,17961.0
536846,12/2/10 19:59,14573.0
536847,12/3/10 9:31,17135.0
536848,12/3/10 9:39,13408.0
536849,12/3/10 9:45,17396.0
C536850,12/3/10 9:47,14213.0
536851,12/3/10 9:49,12967.0
536852,12/3/10 9:51,12686.0
C536853,12/3/10 10:07,14679.0
C536854,12/3/10 10:09,15240.0
C536855,12/3/10 10:11,18225.0
536856,12/3/10 10:26,13370.0
536857,12/3/10 10:33,16883.0
536858,12/3/10 10:36,13520.0
536859,12/3/10 10:43,12841.0
536860,12/3/10 10:43,16905.0
536861,12/3/10 10:44,12427.0
536862,12/3/10 11:13,
536863,12/3/10 11:19,17967.0
536864,12/3/10 11:27,
536865,12/3/10 11:28,
536866,12/3/10 11:28,
536874,12/3/10 11:35,16891.0
536876,12/3/10 11:36,
536883,12/3/10 11:41,
536884,12/3/10 11:42,14589.0
536885,12/3/10 11:42,
536890,12/3/10 11:48,14156.0
536920,12/3/10 12:01,
536938,12/3/10 12:05,14680.0
536941,12/3/10 12:08,
536942,12/3/10 12:08,
536943,12/3/10 12:11,17884.0
536944,12/3/10 12:20,12557.0
536945,12/3/10 12:24,14083.0
536946,12/3/10 12:28,13013.0
536947,12/3/10 12:29,13013.0
536954,12/3/10 12:41,17809.0
536956,12/3/10 12:43,14210.0
536957,12/3/10 12:43,17809.0
536960,12/3/10 12:48,16477.0
536967,12/3/10 12:57,12600.0
536968,12/3/10 13:09,16013.0
536969,12/3/10 13:10,16013.0
536970,12/3/10 13:12,17949.0
536971,12/3/10 13:40,12779.0
536972,12/3/10 13:42,16926.0
536973,12/3/10 13:43,17787.0
536974,12/3/10 13:59,12682.0
536975,12/3/10 14:04,14911.0
536976,12/3/10 14:18,14723.0
536977,12/3/10 14:18,17954.0
C536978,12/3/10 14:19,17954.0
C536979,12/3/10 14:23,17841.0
536980,12/3/10 14:26,17819.0
536981,12/3/10 14:26,14723.0
536982,12/3/10 14:27,
536983,12/3/10 14:30,12712.0
536984,12/3/10 14:35,17841.0
536985,12/3/10 14:40,15373.0
536986,12/3/10 14:40,16140.0
536987,12/3/10 14:54,17198.0
536988,12/3/10 15:05,17238.0
536989,12/3/10 15:10,17238.0
536990,12/3/10 15:14,12793.0
536991,12/3/10 15:16,
536992,12/3/10 15:16,15769.0
536993,12/3/10 15:19,14396.0
536994,12/3/10 15:25,14898.0
536995,12/3/10 15:29,
536996,12/3/10 15:30,
536997,12/3/10 15:30,
536998,12/3/10 15:30,
536999,12/3/10 15:32,
537000,12/3/10 15:32,
537001,12/3/10 15:33,
537002,12/3/10 15:33,
537003,12/3/10 15:33,
537004,12/3/10 15:34,
537005,12/3/10 15:35,
537006,12/3/10 15:36,
537007,12/3/10 15:36,
537008,12/3/10 15:37,
537009,12/3/10 15:38,
537010,12/3/10 15:38,
537011,12/3/10 15:38,
537012,12/3/10 15:39,
537013,12/3/10 15:40,
537014,12/3/10 15:40,
537015,12/3/10 15:41,
537016,12/3/10 15:41,
537017,12/3/10 15:41,
537018,12/3/10 15:42,
537019,12/3/10 15:43,
537020,12/3/10 15:43,
537021,12/3/10 15:43,
537022,12/3/10 15:45,12725.0
537023,12/3/10 16:02,16725.0
537025,12/3/10 16:21,
C537024,12/3/10 16:21,13941.0
537026,12/3/10 16:35,12395.0
537027,12/3/10 16:36,
537028,12/3/10 16:36,
537029,12/3/10 16:37,
537030,12/3/10 16:44,16455.0
537031,12/3/10 16:45,16455.0
537032,12/3/10 16:50,
537034,12/3/10 17:20,13081.0
537035,12/3/10 17:21,13081.0
537036,12/3/10 17:28,15545.0
537037,12/5/10 10:03,17243.0
537038,12/5/10 10:12,15465.0
C537039,12/5/10 10:25,15708.0
537040,12/5/10 10:27,13089.0
537041,12/5/10 10:36,16033.0
537042,12/5/10 10:45,13838.0
C537043,12/5/10 10:48,15351.0
537044,12/5/10 10:52,18055.0
537045,12/5/10 10:54,15038.0
537046,12/5/10 10:58,18109.0
537047,12/5/10 11:02,13069.0
537048,12/5/10 11:03,13069.0
537049,12/5/10 11:04,16241.0
537050,12/5/10 11:10,14800.0
537051,12/5/10 11:12,15708.0
537052,12/5/10 11:15,16839.0
537053,12/5/10 11:38,16168.0
537054,12/5/10 11:40,16931.0
537055,12/5/10 11:45,16814.0
537057,12/5/10 11:49,15351.0
537058,12/5/10 11:51,13269.0
537059,12/5/10 11:54,14813.0
537065,12/5/10 11:57,12567.0
537067,12/5/10 11:57,14813.0
537077,12/5/10 11:59,17062.0
537081,12/5/10 12:00,15332.0
537086,12/5/10 12:01,15332.0
537090,12/5/10 12:02,15332.0
537111,12/5/10 12:08,14810.0
537117,12/5/10 12:09,16353.0
537126,12/5/10 12:13,18118.0
537127,12/5/10 12:13,13831.0
537128,12/5/10 12:15,12841.0
537129,12/5/10 12:15,13506.0
537130,12/5/10 12:23,17796.0
537131,12/5/10 12:26,15716.0
537133,12/5/10 12:29,18156.0
C537132,12/5/10 12:29,15221.0
537134,12/5/10 12:34,16983.0
537135,12/5/10 12:35,17059.0
537136,12/5/10 12:42,12748.0
537137,12/5/10 12:43,16327.0
537138,12/5/10 12:44,17211.0
537139,12/5/10 12:47,17026.0
537140,12/5/10 12:53,12748.0
537141,12/5/10 12:57,15570.0
537142,12/5/10 12:57,12748.0
C537143,12/5/10 12:58,12748.0
537144,12/5/10 13:00,15880.0
537153,12/5/10 13:03,16718.0
537154,12/5/10 13:05,15808.0
537155,12/5/10 13:05,12748.0
537156,12/5/10 13:08,17858.0
C537157,12/5/10 13:09,15880.0
537158,12/5/10 13:10,16393.0
537159,12/5/10 13:17,14527.0
537160,12/5/10 13:18,14161.0
537163,12/5/10 13:21,17863.0
C537164,12/5/10 13:21,14527.0
537176,12/5/10 13:26,16411.0
537179,12/5/10 13:29,13767.0
537192,12/5/10 13:42,16402.0
537193,12/5/10 13:49,15023.0
537194,12/5/10 13:53,17402.0
537195,12/5/10 13:55,15311.0
537196,12/5/10 13:55,15426.0
537197,12/5/10 14:02,12647.0
537198,12/5/10 14:03,12647.0
537199,12/5/10 14:06,15894.0
537200,12/5/10 14:17,15867.0
537201,12/5/10 14:19,12472.0
537202,12/5/10 14:25,14506.0
C537203,12/5/10 14:44,14606.0
537204,12/5/10 14:45,15555.0
537205,12/5/10 14:52,13034.0
537206,12/5/10 15:02,15235.0
537207,12/5/10 15:06,17402.0
537208,12/5/10 15:12,15889.0
537209,12/5/10 15:12,14606.0
537210,12/5/10 15:15,15953.0
537211,12/5/10 15:18,16143.0
537212,12/5/10 15:21,12720.0
537213,12/5/10 15:26,12748.0
537214,12/5/10 15:35,16422.0
537215,12/5/10 15:38,12747.0
537216,12/5/10 15:40,15502.0
537217,12/5/10 15:40,15502.0
537218,12/5/10 15:46,12763.0
537219,12/5/10 15:47,14081.0
537220,12/5/10 15:49,
537221,12/5/10 15:54,17965.0
537222,12/5/10 16:00,14404.0
537223,12/5/10 16:10,13579.0
537224,12/5/10 16:24,13174.0
537225,12/5/10 16:41,12748.0
537226,12/6/10 8:34,15987.0
537227,12/6/10 8:42,17677.0
537228,12/6/10 8:43,17677.0
537229,12/6/10 8:44,17677.0
537230,12/6/10 9:20,
537231,12/6/10 9:21,13652.0
C537232,12/6/10 9:31,12586.0
537233,12/6/10 9:37,17428.0
C537234,12/6/10 9:40,16161.0
537235,12/6/10 9:45,17381.0
537236,12/6/10 9:52,16858.0
537237,12/6/10 9:58,
537238,12/6/10 10:03,16161.0
537239,12/6/10 10:05,18219.0
537240,12/6/10 10:08,
537241,12/6/10 10:18,14293.0
537242,12/6/10 10:19,14748.0
537243,12/6/10 10:19,16638.0
537244,12/6/10 10:20,17674.0
537245,12/6/10 10:24,14748.0
537246,12/6/10 10:27,12808.0
537247,12/6/10 10:34,13094.0
537248,12/6/10 10:36,15899.0
537249,12/6/10 10:38,16955.0
537250,12/6/10 10:43,12708.0
C537251,12/6/10 10:45,
537252,12/6/10 10:46,
537253,12/6/10 10:53,
537254,12/6/10 11:01,15898.0
537255,12/6/10 11:03,14443.0
537256,12/6/10 11:06,16210.0
537257,12/6/10 11:10,17691.0
537258,12/6/10 11:16,17227.0
537262,12/6/10 11:26,15039.0
537265,12/6/10 11:26,15919.0
537298,12/6/10 11:37,13497.0
537301,12/6/10 11:38,15860.0
537312,12/6/10 11:42,14189.0
537313,12/6/10 11:42,15304.0
C537314,12/6/10 11:42,13497.0
C537320,12/6/10 11:47,14867.0
537332,12/6/10 11:58,14344.0
C537333,12/6/10 12:00,12474.0
537334,12/6/10 12:06,16719.0
537335,12/6/10 12:15,15048.0
537346,12/6/10 12:21,15301.0
537350,12/6/10 12:23,14708.0
537351,12/6/10 12:23,16898.0
537354,12/6/10 12:23,12748.0
537359,12/6/10 12:30,14825.0
537360,12/6/10 12:31,18113.0
537361,12/6/10 12:34,
537362,12/6/10 12:34,17596.0
537363,12/6/10 12:35,
537364,12/6/10 12:36,
537365,12/6/10 12:38,15078.0
537366,12/6/10 12:39,14085.0
537367,12/6/10 12:39,15078.0
537368,12/6/10 12:40,14911.0
537369,12/6/10 12:41,17860.0
537370,12/6/10 12:44,13155.0
537371,12/6/10 12:47,15028.0
537372,12/6/10 12:52,16919.0
537374,12/6/10 12:55,17259.0
537375,12/6/10 12:55,17019.0
C537373,12/6/10 12:55,14487.0
537376,12/6/10 12:59,16722.0
537377,12/6/10 13:01,15882.0
537378,12/6/10 13:06,14911.0
537380,12/6/10 13:12,15882.0
C537379,12/6/10 13:12,15882.0
537381,12/6/10 13:13,14667.0
537382,12/6/10 13:13,16710.0
C537383,12/6/10 13:17,16550.0
537384,12/6/10 13:21,15984.0
537385,12/6/10 13:22,14487.0
537386,12/6/10 13:32,14911.0
537387,12/6/10 13:34,13468.0
537388,12/6/10 13:35,17682.0
537389,12/6/10 13:41,17757.0
537390,12/6/10 13:47,16658.0
537391,12/6/10 13:53,16550.0
537392,12/6/10 13:58,17068.0
537393,12/6/10 13:59,13089.0
537394,12/6/10 14:00,13089.0
537395,12/6/10 14:05,15356.0
537396,12/6/10 14:08,17223.0
537397,12/6/10 14:19,16817.0
C537398,12/6/10 14:22,15426.0
537399,12/6/10 14:31,13030.0
537400,12/6/10 14:36,17191.0
537401,12/6/10 14:37,
537403,12/6/10 14:43,17191.0
C537402,12/6/10 14:43,15502.0
537404,12/6/10 14:46,17191.0
537405,12/6/10 14:51,17841.0
C537406,12/6/10 14:53,15502.0
537407,12/6/10 14:55,15502.0
C537408,12/6/10 14:55,15502.0
537409,12/6/10 15:00,15194.0
537410,12/6/10 15:03,14409.0
537411,12/6/10 15:06,
537412,12/6/10 15:06,14409.0
C537413,12/6/10 15:07,14409.0
537415,12/6/10 15:09,16654.0
C537414,12/6/10 15:09,16861.0
C537416,12/6/10 15:10,16138.0
C537417,12/6/10 15:12,13481.0
537418,12/6/10 15:13,17884.0
537419,12/6/10 15:14,13495.0
537420,12/6/10 15:18,17519.0
537421,12/6/10 15:25,17218.0
537422,12/6/10 15:27,17812.0
537423,12/6/10 15:34,14215.0
537424,12/6/10 15:35,15602.0
537425,12/6/10 15:35,
537426,12/6/10 15:36,
537427,12/6/10 15:37,
537428,12/6/10 15:38,17320.0
537429,12/6/10 15:54,12748.0
537430,12/6/10 16:05,
537432,12/6/10 16:10,
C537431,12/6/10 16:10,16782.0
537433,12/6/10 16:36,12913.0
537434,12/6/10 16:57,
537435,12/6/10 16:58,17920.0
537436,12/6/10 17:00,
537437,12/6/10 17:00,
537438,12/6/10 17:00,
537439,12/6/10 17:01,
537440,12/6/10 17:16,17869.0
537441,12/6/10 17:26,13564.0
537442,12/6/10 17:29,
C537444,12/7/10 8:42,14850.0
C537445,12/7/10 8:57,15021.0
537446,12/7/10 9:13,18055.0
537447,12/7/10 9:21,13963.0
537448,12/7/10 9:23,17450.0
537449,12/7/10 9:26,
537450,12/7/10 9:26,
537451,12/7/10 9:27,
537452,12/7/10 9:28,
537453,12/7/10 9:28,
537454,12/7/10 9:30,
537455,12/7/10 9:31,
537456,12/7/10 9:43,17450.0
537457,12/7/10 9:51,17511.0
537458,12/7/10 9:55,17091.0
537459,12/7/10 9:57,17470.0
537460,12/7/10 10:04,17616.0
537461,12/7/10 10:06,15649.0
537462,12/7/10 10:06,17228.0
537463,12/7/10 10:08,12681.0
537464,12/7/10 10:14,14907.0
537465,12/7/10 10:32,17735.0
537466,12/7/10 10:33,
537467,12/7/10 10:36,16059.0
537468,12/7/10 10:36,12567.0
537469,12/7/10 10:43,17720.0
537470,12/7/10 10:47,15018.0
537471,12/7/10 10:51,14344.0
537472,12/7/10 11:11,12971.0
537476,12/7/10 11:26,15838.0
537484,12/7/10 11:30,14733.0
537489,12/7/10 11:33,17017.0
537509,12/7/10 11:41,13756.0
537523,12/7/10 11:45,14176.0
C537530,12/7/10 11:47,13319.0
537534,12/7/10 11:48,
537538,12/7/10 11:49,15353.0
537567,12/7/10 11:59,18119.0
C537572,12/7/10 12:00,
C537581,12/7/10 12:03,
537592,12/7/10 12:18,17491.0
537593,12/7/10 12:21,14282.0
537594,12/7/10 12:28,12647.0
537595,12/7/10 12:29,13569.0
C537596,12/7/10 12:31,17954.0
C537597,12/7/10 12:34,15498.0
537598,12/7/10 12:37,14135.0
537599,12/7/10 12:37,17954.0
C537600,12/7/10 12:41,
537601,12/7/10 12:43,17287.0
C537602,12/7/10 12:45,17511.0
537603,12/7/10 12:49,14673.0
537604,12/7/10 13:01,13488.0
537605,12/7/10 13:13,16221.0
537606,12/7/10 13:16,15002.0
537607,12/7/10 13:18,15965.0
537608,12/7/10 13:20,15024.0
537609,12/7/10 13:22,17675.0
C537610,12/7/10 13:23,
C537611,12/7/10 13:25,17675.0
537612,12/7/10 13:28,13769.0
C537613,12/7/10 13:28,
537614,12/7/10 13:29,16904.0
537615,12/7/10 13:30,15898.0
537616,12/7/10 13:30,16904.0
537617,12/7/10 13:45,16086.0
537618,12/7/10 13:50,15061.0
537619,12/7/10 13:53,13786.0
537620,12/7/10 14:00,13880.0
537621,12/7/10 14:29,
537622,12/7/10 14:30,13173.0
537623,12/7/10 14:31,15858.0
537624,12/7/10 14:41,12748.0
537625,12/7/10 14:57,15180.0
537626,12/7/10 14:57,12347.0
537627,12/7/10 14:58,14739.0
537628,12/7/10 15:02,16293.0
537629,12/7/10 15:03,17419.0
537631,12/7/10 15:04,17419.0
C537630,12/7/10 15:04,
537632,12/7/10 15:08,
537633,12/7/10 15:14,
537634,12/7/10 15:15,16775.0
537635,12/7/10 15:18,16306.0
537636,12/7/10 15:20,16950.0
537637,12/7/10 15:22,
537638,12/7/10 15:28,
537639,12/7/10 15:29,
537640,12/7/10 15:31,
537641,12/7/10 15:32,
537642,12/7/10 15:33,
537643,12/7/10 15:34,
537645,12/7/10 15:34,
C537644,12/7/10 15:34,
537646,12/7/10 15:39,17591.0
C537647,12/7/10 15:41,
537648,12/7/10 15:48,12839.0
537649,12/7/10 15:48,13807.0
537650,12/7/10 15:48,16125.0
C537651,12/7/10 15:49,
C537652,12/7/10 15:51,
537653,12/7/10 15:54,17897.0
537654,12/7/10 15:59,
537655,12/7/10 16:20,15081.0
C537656,12/7/10 16:21,15100.0
537657,12/7/10 16:42,18102.0
537658,12/7/10 16:43,18102.0
537659,12/7/10 16:43,18102.0
537664,12/7/10 17:05,15024.0
537665,12/7/10 17:19,16365.0
537666,12/7/10 18:36,
537667,12/8/10 8:12,17870.0
537668,12/8/10 8:43,14821.0
537669,12/8/10 8:58,16863.0
537670,12/8/10 9:07,13078.0
537671,12/8/10 9:20,13267.0
537672,12/8/10 9:30,13050.0
537673,12/8/10 9:49,12709.0
537674,12/8/10 9:51,15628.0
537675,12/8/10 9:53,
537676,12/8/10 9:53,12386.0
C537677,12/8/10 9:55,14796.0
537678,12/8/10 9:56,16779.0
537679,12/8/10 10:05,
537680,12/8/10 10:11,13599.0
537681,12/8/10 10:11,13329.0
537682,12/8/10 10:13,13599.0
537683,12/8/10 10:14,12921.0
C537684,12/8/10 10:18,14901.0
537685,12/8/10 10:21,18077.0
537686,12/8/10 10:21,14744.0
537687,12/8/10 10:26,
537688,12/8/10 10:35,17406.0
537689,12/8/10 10:36,15750.0
537690,12/8/10 10:38,13983.0
537691,12/8/10 10:39,13842.0
537692,12/8/10 10:40,14796.0
537693,12/8/10 10:45,12441.0
537694,12/8/10 10:46,14901.0
537698,12/8/10 10:51,13199.0
537700,12/8/10 10:51,18229.0
537707,12/8/10 10:53,14032.0
537738,12/8/10 11:02,17706.0
537743,12/8/10 11:02,17706.0
C537746,12/8/10 11:03,15021.0
537751,12/8/10 11:04,17706.0
537754,12/8/10 11:16,16081.0
537755,12/8/10 11:31,16525.0
C537756,12/8/10 11:33,14952.0
537757,12/8/10 11:38,17975.0
537758,12/8/10 11:41,16122.0
