Country,StockCode,Description,TotalPrice
France,23084,RABBIT NIGHT LIGHT,7234.24
France,22423,REGENCY CAKESTAND 3 TIER,2816.85
France,21731,RED TOADSTOOL LED NIGHT LIGHT,2130.1499999999996
Germany,POST,POSTAGE,21001.0
Germany,22423,REGENCY CAKESTAND 3 TIER,9061.949999999999
Germany,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,3598.9500000000003
Germany,M,Manual,2296.25
Germany,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1982.4000000000003
Greece,POST,POSTAGE,335.0
Greece,22423,REGENCY CAKESTAND 3 TIER,175.2
Greece,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,135.84
Greece,22692,DOORMAT WELCOME TO OUR HOME,135.0
Greece,48129,DOORMAT TOPIARY,135.0
Iceland,84558A,3D DOG PICTURE PLAYING CARDS,371.70000000000005
Iceland,23076,ICE CREAM SUNDAE LIP GLOSS,249.60000000000002
Iceland,22423,REGENCY CAKESTAND 3 TIER,191.25
Iceland,23084,RABBIT NIGHT LIGHT,153.84
Iceland,22727,ALARM CLOCK BAKELIKE RED ,135.0
Israel,22423,REGENCY CAKESTAND 3 TIER,551.0999999999999
Israel,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,244.79999999999998
Israel,23240,SET OF 4 KNICK KNACK TINS DOILEY ,229.8
Israel,22192,BLUE DINER WALL CLOCK,183.60000000000002
Israel,23236,DOILEY STORAGE TIN,154.20000000000002
Italy,POST,POSTAGE,1663.0
Italy,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,252.45000000000002
Italy,22847,BREAD BIN DINER STYLE IVORY,247.2
Italy,22139,RETROSPOT TEA SET CERAMIC 11 PC ,222.75000000000003
Italy,22960,JAM MAKING SET WITH JARS,217.5
Japan,23084,RABBIT NIGHT LIGHT,6100.32
Japan,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,3812.0999999999995
Japan,21218,RED SPOTTY BISCUIT TIN,858.0
Japan,20750,RED RETROSPOT MINI CASES,761.9999999999999
Japan,21217,RED RETROSPOT ROUND CAKE TINS,751.8
Lebanon,22423,REGENCY CAKESTAND 3 TIER,153.0
Lebanon,22606,WOODEN SKITTLES GARDEN SET,102.0
Lebanon,85066,CREAM SWEETHEART MINI CHEST,102.0
Lebanon,21906,PHARMACIE FIRST AID TIN,81.0
Lebanon,22842,BISCUIT TIN VINTAGE RED,71.4
Lithuania,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,135.0
Lithuania,22271,FELTCRAFT DOLL ROSIE,122.39999999999999
Lithuania,22750,FELTCRAFT PRINCESS LOLA DOLL,120.0
Lithuania,22751,FELTCRAFT PRINCESS OLIVIA DOLL,105.0
Lithuania,22569,FELTCRAFT CUSHION BUTTERFLY,90.0
Malta,POST,POSTAGE,655.0
Malta,72741,GRAND CHOCOLATECANDLE,117.44999999999999
Malta,22423,REGENCY CAKESTAND 3 TIER,89.25
Malta,23173,REGENCY TEAPOT ROSES ,79.6
Malta,22796,PHOTO FRAME 3 CLASSIC HANGING,59.699999999999996
Netherlands,23084,RABBIT NIGHT LIGHT,9568.48
Netherlands,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,7991.4
Netherlands,22629,SPACEBOY LUNCH BOX ,7485.599999999999
Netherlands,22630,DOLLY GIRL LUNCH BOX,6828.599999999999
Netherlands,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,4039.2
Norway,POST,POSTAGE,2870.5
Norway,M,Manual,840.3
Norway,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,538.8000000000001
Norway,22635,CHILDS BREAKFAST SET DOLLY GIRL ,527.4
Norway,22634,CHILDS BREAKFAST SET SPACEBOY ,487.6
Poland,POST,POSTAGE,360.0
Poland,37448,CERAMIC CAKE DESIGN SPOTTED MUG,191.51999999999998
Poland,22722,SET OF 6 SPICE TINS PANTRY DESIGN,177.60000000000002
Poland,22666,RECIPE BOX PANTRY YELLOW DESIGN,167.4
Poland,21232,STRAWBERRY CERAMIC TRINKET BOX,166.32
Portugal,M,Manual,4223.9400000000005
Portugal,POST,POSTAGE,2508.0
Portugal,22139,RETROSPOT TEA SET CERAMIC 11 PC ,463.35
Portugal,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,387.40000000000003
Portugal,20725,LUNCH BAG RED RETROSPOT,354.75
RSA,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,38.25
RSA,22605,WOODEN CROQUET GARDEN SET,29.9
RSA,23298,SPOTTY BUNTING,29.700000000000003
RSA,22423,REGENCY CAKESTAND 3 TIER,25.5
RSA,22526,WHEELBARROW FOR CHILDREN ,25.5
Saudi Arabia,22553,PLASTERS IN TIN SKULLS,19.799999999999997
Saudi Arabia,22555,PLASTERS IN TIN STRONGMAN,19.799999999999997
Saudi Arabia,22556,PLASTERS IN TIN CIRCUS PARADE ,19.799999999999997
Saudi Arabia,22361,GLASS JAR DAISY FRESH COTTON WOOL,17.700000000000003
Saudi Arabia,22362,GLASS JAR PEACOCK BATH SALTS,17.700000000000003
Singapore,M,Manual,12158.9
Singapore,48138,DOORMAT UNION FLAG,340.8
Singapore,22655,VINTAGE RED KITCHEN CABINET,250.0
Singapore,20685,DOORMAT RED RETROSPOT,205.8
Singapore,21936,RED RETROSPOT PICNIC BAG,201.25
Spain,POST,POSTAGE,5852.0
Spain,84997D,CHILDRENS CUTLERY POLKADOT PINK,2737.3500000000004
Spain,84997C,CHILDRENS CUTLERY POLKADOT BLUE,2450.75
Spain,22423,REGENCY CAKESTAND 3 TIER,2049.0
Spain,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,1220.4
Sweden,22492,MINI PAINT SET VINTAGE ,1895.4
Sweden,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1767.15
Sweden,POST,POSTAGE,1509.0
Sweden,23297,SET 40 HEART SHAPE PETIT FOUR CASES,1240.8
Sweden,85232B,SET OF 3 BABUSHKA STACKING TINS,1188.0
Switzerland,POST,POSTAGE,4002.0
Switzerland,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1300.8
Switzerland,22554,PLASTERS IN TIN WOODLAND ANIMALS,972.5999999999999
Switzerland,22423,REGENCY CAKESTAND 3 TIER,924.15
Switzerland,22551,PLASTERS IN TIN SPACEBOY,733.8
USA,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,162.72
USA,22423,REGENCY CAKESTAND 3 TIER,114.75
USA,21121,SET/10 RED POLKADOT PARTY CANDLES,90.0
USA,21122,SET/10 PINK POLKADOT PARTY CANDLES,90.0
USA,21123,SET/10 IVORY POLKADOT PARTY CANDLES,90.0
United Arab Emirates,22423,REGENCY CAKESTAND 3 TIER,153.0
United Arab Emirates,23007, SPACEBOY BABY GIFT SET,89.69999999999999
United Arab Emirates,23008,DOLLY GIRL BABY GIFT SET,89.69999999999999
United Arab Emirates,23009,I LOVE LONDON BABY GIFT SET,89.69999999999999
United Arab Emirates,47590B,PINK HAPPY BIRTHDAY BUNTING,65.4
United Kingdom,23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6
United Kingdom,22423,REGENCY CAKESTAND 3 TIER,110990.2
United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,94858.6
United Kingdom,23166,MEDIUM CERAMIC TOP STORAGE JAR,80291.44
United Kingdom,85099B,JUMBO BAG RED RETROSPOT,77371.57
Unspecified,22960,JAM MAKING SET WITH JARS,70.5
Unspecified,23234,BISCUIT TIN VINTAGE CHRISTMAS,69.36
Unspecified,23236,STORAGE TIN VINTAGE DOILY ,69.36
Unspecified,22485,SET OF 2 WOODEN MARKET CRATES,51.0
Unspecified,22752,SET 7 BABUSHKA NESTING BOXES,42.5
